er,sx,sy,sz,u (sy/sx),v (sz/sx),Pxx_inf,Pyy_inf,Pzz_inf,Nx,Ny,Nz,N_sum
0.0,1.0,1.0,1.0,1.0,1.0,-1.6416918784320653,-1.6416918875317603,-1.641691890953183,-0.609127701207289,-0.6091276978309694,-0.6091276965614966,-1.827383095599755
0.5,1.0,1.0,1.0,1.0,1.0,-0.606489843285204,-0.606489843285204,-0.606489843285204,-1.6488322287200226,-1.6488322287200226,-1.6488322287200226,-4.946496686160067
0.6799469086438521,1.0,1.0,1.0,1.0,1.0,-0.3595835207864303,-0.3595835207864303,-0.35958352078643024,-2.7809950740037843,-2.7809950740037843,-2.7809950740037848,-8.342985222011354
0.9246555971486619,1.0,1.0,1.0,1.0,1.0,-0.0772980291554325,-0.0772980291554325,-0.0772980291554325,-12.936940448884911,-12.936940448884911,-12.936940448884911,-38.810821346654734
1.2574334296829355,1.0,1.0,1.0,1.0,1.0,0.23742639960139533,0.23742639960139533,0.23742639960139533,4.21183154728731,4.21183154728731,4.21183154728731,12.635494641861928
1.709975946676697,1.0,1.0,1.0,1.0,1.0,0.5787242527536984,0.5787242527536984,0.5787242527536984,1.7279386430442099,1.7279386430442099,1.7279386430442099,5.18381592913263
2.325385717596329,1.0,1.0,1.0,1.0,1.0,0.937619789756715,0.937619789756715,0.9376197897567147,1.0665303899563285,1.0665303899563285,1.066530389956329,3.1995911698689863
3.1622776601683795,1.0,1.0,1.0,1.0,1.0,1.3024406314573764,1.3024406314573764,1.3024406314573764,0.767789314804347,0.767789314804347,0.767789314804347,2.303367944413041
4.300361838610008,1.0,1.0,1.0,1.0,1.0,1.6600043504500817,1.660004350450082,1.660004350450082,0.6024080597914501,0.6024080597914498,0.6024080597914498,1.8072241793743498
5.848035476425731,1.0,1.0,1.0,1.0,1.0,1.9974264607407353,1.9974264607407355,1.9974264607407353,0.5006442137695298,0.5006442137695297,0.5006442137695298,1.5019326413085894
7.952707287670507,1.0,1.0,1.0,1.0,1.0,2.304040230340292,2.304040230340292,2.304040230340292,0.43402019931410074,0.43402019931410074,0.43402019931410074,1.3020605979423023
10.814837471201987,1.0,1.0,1.0,1.0,1.0,2.5727950877155075,2.5727950877155075,2.5727950877155075,0.3886823341566397,0.3886823341566397,0.3886823341566397,1.1660470024699192
14.707030612058974,1.0,1.0,1.0,1.0,1.0,2.800727494046359,2.800727494046359,2.800727494046359,0.3570500886379514,0.3570500886379514,0.3570500886379514,1.0711502659138543
20.000000000000004,1.0,1.0,1.0,1.0,1.0,2.9885180340535027,2.9885180340535027,2.9885180340535036,0.3346140088850798,0.3346140088850798,0.3346140088850797,1.0038420266552393
10000000000.0,1.0,1.0,1.0,1.0,1.0,3.6306089298579125,3.6306089298579134,3.630608929857914,0.27543588949392467,0.27543588949392456,0.27543588949392456,0.8263076684817738
